               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10888,            0.035969,            0.045346,          0.00060386,              0.0625,          0.00039728,          3.9728e-05,            0.097895,            0.044291,            0.043984,              0.0901,              0.0011,              0.0011
                   1,            0.098581,            0.036671,            0.044497,          0.00043783,              0.0625,           0.0028294,          0.00075047,             0.09208,            0.046249,             0.04371,            0.079289,           0.0022886,           0.0022886
                   2,            0.088469,            0.035745,            0.043126,           0.0023656,              0.3125,           0.0081178,           0.0021643,            0.084988,            0.048719,            0.043228,            0.068465,           0.0034654,           0.0034654
                   3,            0.078667,            0.039155,            0.042066,           0.0024989,              0.3125,             0.15542,            0.057904,            0.078895,            0.049535,            0.042414,             0.05763,           0.0046302,           0.0046302
                   4,            0.072713,            0.037747,            0.040879,           0.0024468,              0.3125,            0.010908,           0.0039877,            0.076486,             0.04902,            0.042582,            0.046783,           0.0057832,           0.0057832
                   5,            0.071117,            0.041866,            0.040506,           0.0039398,                 0.5,             0.14418,             0.05203,            0.072275,            0.048123,            0.042612,            0.035924,           0.0069243,           0.0069243
                   6,            0.067886,            0.034397,            0.040115,           0.0040227,                 0.5,            0.060275,            0.031459,            0.077212,            0.042085,            0.042624,            0.025053,           0.0080535,           0.0080535
                   7,            0.066177,            0.031475,            0.039126,             0.47961,             0.11341,             0.13897,            0.095604,             0.06498,            0.045407,            0.042134,            0.014171,           0.0091708,           0.0091708
                   8,            0.062782,            0.031413,            0.039099,             0.24201,             0.26229,             0.19521,            0.056825,            0.059335,            0.044131,            0.041982,            0.009604,            0.009604,            0.009604
                   9,            0.056937,            0.034102,            0.038708,             0.31537,             0.41851,             0.31467,             0.15639,            0.056456,            0.042423,            0.041896,            0.009604,            0.009604,            0.009604
                  10,            0.055211,            0.031832,            0.038207,             0.21403,               0.375,             0.19322,            0.080797,             0.05485,            0.040835,            0.041588,           0.0095545,           0.0095545,           0.0095545
                  11,             0.05359,            0.031445,            0.036818,             0.23154,              0.4375,             0.18889,            0.058531,            0.060655,            0.037644,            0.039976,            0.009505,            0.009505,            0.009505
                  12,            0.055644,            0.026393,            0.035972,             0.18404,              0.4375,             0.29029,             0.12561,            0.051403,            0.038794,            0.038771,           0.0094555,           0.0094555,           0.0094555
                  13,            0.049129,            0.028043,            0.034669,             0.14861,                0.25,              0.2115,             0.12762,            0.054357,            0.037232,            0.038143,            0.009406,            0.009406,            0.009406
                  14,             0.05106,            0.025826,            0.034012,              0.1788,               0.375,             0.31067,               0.119,            0.048995,            0.033561,            0.038661,           0.0093565,           0.0093565,           0.0093565
                  15,            0.047291,            0.025025,            0.033319,              0.3049,             0.48887,             0.35662,             0.14159,            0.053427,            0.031493,            0.037252,            0.009307,            0.009307,            0.009307
                  16,             0.04869,            0.024963,            0.031834,             0.28335,               0.625,             0.43604,             0.20413,            0.048838,            0.030351,            0.034741,           0.0092575,           0.0092575,           0.0092575
                  17,            0.045455,            0.022882,            0.030606,             0.60484,             0.47715,             0.55777,             0.26923,            0.044369,            0.028789,            0.033171,            0.009208,            0.009208,            0.009208
                  18,            0.045382,            0.022534,            0.028916,             0.51439,             0.61554,             0.57426,             0.29211,            0.043208,            0.027884,            0.031554,           0.0091585,           0.0091585,           0.0091585
                  19,            0.044493,            0.020341,            0.026627,             0.42097,             0.74006,             0.53387,             0.23805,            0.043944,            0.026844,             0.02929,            0.009109,            0.009109,            0.009109
                  20,            0.043129,            0.020917,             0.02463,             0.48221,             0.53888,             0.58525,             0.23277,            0.046426,            0.025247,            0.028484,           0.0090595,           0.0090595,           0.0090595
                  21,            0.043008,            0.018153,            0.022686,             0.58826,              0.6744,             0.60969,             0.32447,            0.042982,            0.025145,            0.026037,             0.00901,             0.00901,             0.00901
                  22,            0.042455,            0.018791,            0.019829,             0.70043,             0.72375,             0.67413,             0.41337,            0.040935,             0.02439,            0.024855,           0.0089605,           0.0089605,           0.0089605
                  23,            0.043619,            0.018024,             0.01881,             0.88165,             0.71016,             0.79898,             0.33952,            0.045223,            0.023794,            0.022445,            0.008911,            0.008911,            0.008911
                  24,             0.04285,            0.018074,            0.017062,             0.82025,               0.625,             0.76083,             0.44672,            0.046746,            0.023292,            0.018123,           0.0088615,           0.0088615,           0.0088615
                  25,            0.043168,            0.017601,            0.014594,             0.63951,              0.8125,             0.71005,             0.29626,            0.049538,            0.022731,            0.016045,            0.008812,            0.008812,            0.008812
                  26,            0.043483,            0.017262,            0.013769,             0.85438,               0.752,             0.81728,             0.41125,            0.045586,            0.022763,            0.013268,           0.0087625,           0.0087625,           0.0087625
                  27,            0.042181,            0.016953,            0.011036,             0.76783,             0.79144,             0.77877,              0.4279,            0.051107,            0.021939,            0.012306,            0.008713,            0.008713,            0.008713
                  28,             0.04284,            0.017521,            0.010228,             0.82874,             0.80229,             0.83352,             0.46111,            0.043182,            0.022025,            0.011957,           0.0086635,           0.0086635,           0.0086635
                  29,            0.040984,            0.016198,           0.0096801,              0.7965,             0.77341,             0.71704,             0.44832,            0.046385,            0.021269,            0.011038,            0.008614,            0.008614,            0.008614
                  30,            0.039815,            0.014211,            0.009022,             0.85132,                0.75,             0.84772,             0.42418,            0.041258,            0.021279,            0.010828,           0.0085645,           0.0085645,           0.0085645
                  31,            0.039719,            0.016253,           0.0083998,             0.74439,              0.7414,             0.84375,             0.47762,            0.041191,            0.020698,             0.01201,            0.008515,            0.008515,            0.008515
                  32,            0.039443,             0.01603,           0.0074411,             0.91339,             0.72131,             0.86375,             0.48664,            0.038992,            0.021406,            0.013329,           0.0084655,           0.0084655,           0.0084655
                  33,            0.039592,            0.015195,           0.0073148,             0.80316,              0.7828,              0.8213,             0.46325,            0.041569,            0.020188,            0.011783,            0.008416,            0.008416,            0.008416
                  34,            0.038299,            0.014343,           0.0069138,             0.75717,             0.73128,               0.852,             0.47453,            0.038052,            0.020508,            0.011621,           0.0083665,           0.0083665,           0.0083665
                  35,            0.035405,            0.014302,           0.0062695,             0.92199,             0.78741,             0.82418,             0.36699,            0.043214,            0.019104,           0.0098682,            0.008317,            0.008317,            0.008317
                  36,            0.038753,            0.015353,           0.0062957,             0.83778,                0.75,             0.81515,             0.51616,            0.038073,             0.02011,           0.0084558,           0.0082675,           0.0082675,           0.0082675
                  37,            0.038012,            0.015393,           0.0057227,             0.93562,              0.8125,             0.81916,              0.4444,            0.042083,            0.019223,            0.007424,            0.008218,            0.008218,            0.008218
                  38,            0.036482,            0.013672,           0.0047762,             0.91651,              0.8125,             0.82599,             0.46904,            0.038659,            0.019855,           0.0064807,           0.0081685,           0.0081685,           0.0081685
                  39,            0.037236,            0.014165,           0.0047621,             0.87748,             0.80116,             0.81768,             0.44377,            0.040649,            0.019222,           0.0076846,            0.008119,            0.008119,            0.008119
                  40,            0.037031,             0.01381,            0.004968,             0.78491,             0.76131,             0.77705,             0.47832,            0.036197,            0.019756,            0.010582,           0.0080695,           0.0080695,           0.0080695
                  41,            0.035052,            0.014035,           0.0051841,             0.83833,                0.75,             0.75252,             0.43518,             0.04351,            0.018862,            0.015614,             0.00802,             0.00802,             0.00802
                  42,            0.034503,            0.012971,           0.0050698,              0.8411,             0.67643,             0.68462,             0.41795,            0.038172,            0.019307,            0.015243,           0.0079705,           0.0079705,           0.0079705
                  43,            0.033259,            0.012616,           0.0044109,             0.71541,             0.73419,             0.73517,             0.45012,            0.036645,            0.019139,             0.01269,            0.007921,            0.007921,            0.007921
                  44,            0.031441,            0.012105,           0.0050403,             0.82838,             0.80441,             0.77844,             0.46611,            0.039071,            0.018813,            0.006465,           0.0078715,           0.0078715,           0.0078715
                  45,            0.031132,            0.013584,           0.0052626,             0.81954,             0.80649,             0.83957,             0.49893,            0.034781,            0.018531,           0.0060116,            0.007822,            0.007822,            0.007822
                  46,            0.033478,            0.013766,           0.0045844,             0.89772,             0.80016,             0.81881,             0.52758,            0.043531,            0.017768,           0.0058276,           0.0077725,           0.0077725,           0.0077725
                  47,            0.032633,            0.012727,            0.004537,             0.88644,             0.79886,             0.83137,             0.62333,            0.033799,            0.018313,           0.0056749,            0.007723,            0.007723,            0.007723
                  48,             0.03097,             0.01168,           0.0040247,             0.76106,                0.75,             0.75968,             0.46372,            0.039195,            0.018297,           0.0053236,           0.0076735,           0.0076735,           0.0076735
                  49,            0.031459,            0.013183,           0.0036883,             0.87963,              0.8125,             0.81931,             0.51063,            0.038695,             0.01851,           0.0048738,            0.007624,            0.007624,            0.007624
                  50,            0.032923,            0.012033,           0.0039203,             0.91575,             0.78204,             0.81607,             0.65923,            0.032956,            0.019371,           0.0050664,           0.0075745,           0.0075745,           0.0075745
                  51,            0.031516,            0.012846,           0.0038169,             0.93035,             0.77567,             0.81639,             0.53664,            0.038761,             0.01899,           0.0053602,            0.007525,            0.007525,            0.007525
                  52,            0.030592,            0.012641,           0.0036207,             0.80449,              0.8125,             0.76667,             0.52909,            0.035987,            0.017784,            0.005114,           0.0074755,           0.0074755,           0.0074755
                  53,            0.031976,            0.012095,           0.0038859,             0.94267,              0.8125,             0.82111,             0.54977,            0.036657,            0.017581,           0.0049967,            0.007426,            0.007426,            0.007426
                  54,            0.030761,            0.012876,           0.0036894,             0.88944,             0.81165,             0.78493,             0.51474,            0.036611,            0.018209,           0.0044914,           0.0073765,           0.0073765,           0.0073765
                  55,            0.031298,            0.011552,           0.0034184,              0.8628,              0.8125,              0.8195,             0.45188,            0.041143,            0.017665,           0.0044256,            0.007327,            0.007327,            0.007327
                  56,            0.030833,            0.012555,           0.0038223,             0.94147,              0.8125,             0.81747,             0.62139,            0.033324,            0.017884,           0.0040783,           0.0072775,           0.0072775,           0.0072775
                  57,            0.030045,            0.011815,           0.0032104,             0.94777,              0.8125,             0.81404,             0.52771,            0.040057,            0.017378,            0.004094,            0.007228,            0.007228,            0.007228
                  58,             0.03078,            0.012644,           0.0034675,             0.92078,              0.8125,             0.80996,             0.58063,            0.036154,            0.017782,           0.0043098,           0.0071785,           0.0071785,           0.0071785
                  59,            0.029135,            0.011998,           0.0035636,             0.87692,              0.8125,             0.81252,              0.4785,            0.041441,            0.017484,            0.004287,            0.007129,            0.007129,            0.007129
                  60,            0.029361,             0.01211,           0.0029775,             0.96324,              0.8125,             0.81413,             0.56551,            0.033376,            0.017311,           0.0048833,           0.0070795,           0.0070795,           0.0070795
                  61,            0.029352,            0.011661,           0.0035207,             0.97117,              0.8125,             0.81649,             0.44097,            0.040409,            0.017317,           0.0043304,             0.00703,             0.00703,             0.00703
                  62,            0.029794,            0.011073,           0.0034758,             0.95846,              0.8125,             0.82044,             0.50369,            0.033834,            0.018172,           0.0039138,           0.0069805,           0.0069805,           0.0069805
                  63,            0.028376,            0.011149,           0.0028686,             0.94833,              0.8125,             0.81821,             0.48862,            0.039061,             0.01796,           0.0038866,            0.006931,            0.006931,            0.006931
                  64,            0.029079,            0.011167,           0.0029951,             0.96036,              0.8125,             0.81811,             0.53118,            0.034236,            0.018035,           0.0035846,           0.0068815,           0.0068815,           0.0068815
                  65,            0.027494,            0.010974,           0.0030093,             0.96151,              0.8125,             0.82354,             0.51403,            0.038347,            0.017662,           0.0035714,            0.006832,            0.006832,            0.006832
                  66,            0.028089,             0.01099,           0.0027558,             0.96093,              0.8125,              0.8254,             0.58828,            0.032794,            0.017723,           0.0032017,           0.0067825,           0.0067825,           0.0067825
                  67,            0.028517,            0.010367,           0.0033075,             0.94862,              0.8125,             0.82545,             0.55602,            0.035875,            0.017523,           0.0032161,            0.006733,            0.006733,            0.006733
                  68,            0.027969,            0.010752,           0.0024727,             0.95858,              0.8125,             0.85913,             0.55492,            0.034928,            0.018089,           0.0033581,           0.0066835,           0.0066835,           0.0066835
                  69,            0.026788,            0.011355,           0.0026098,             0.95819,              0.8125,             0.82223,             0.55456,            0.037583,            0.017275,           0.0034812,            0.006634,            0.006634,            0.006634
                  70,            0.027952,            0.010395,           0.0023906,             0.95679,             0.86406,             0.93389,              0.5591,            0.032793,            0.016729,            0.003317,           0.0065845,           0.0065845,           0.0065845
                  71,            0.026873,            0.010836,            0.002735,             0.95502,             0.86012,               0.934,             0.53351,            0.036088,             0.01646,           0.0035765,            0.006535,            0.006535,            0.006535
                  72,            0.026996,            0.011536,           0.0028441,             0.96769,             0.84751,             0.93405,             0.64582,            0.028989,            0.016729,           0.0038272,           0.0064855,           0.0064855,           0.0064855
                  73,            0.026978,            0.010712,           0.0029965,              0.9592,              0.8125,              0.8196,             0.54237,              0.0347,            0.016627,           0.0044243,            0.006436,            0.006436,            0.006436
                  74,            0.026535,            0.010705,           0.0022766,             0.95968,              0.8125,             0.81886,             0.56338,            0.031207,            0.016983,           0.0039139,           0.0063865,           0.0063865,           0.0063865
                  75,            0.025177,            0.010385,           0.0024555,              0.9598,              0.8125,              0.8225,             0.51691,            0.035488,            0.016338,           0.0037447,            0.006337,            0.006337,            0.006337
                  76,            0.025665,            0.011109,           0.0024645,             0.97621,             0.84181,             0.93462,             0.60057,            0.029664,            0.016523,           0.0032821,           0.0062875,           0.0062875,           0.0062875
                  77,            0.025893,           0.0094599,           0.0027982,             0.95627,              0.8125,             0.82433,             0.51651,            0.035755,            0.016236,           0.0031163,            0.006238,            0.006238,            0.006238
                  78,            0.025729,           0.0099465,           0.0025694,             0.97737,             0.84232,             0.93477,             0.63653,            0.029003,            0.016219,           0.0030042,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024961,           0.0098378,           0.0024455,             0.95698,              0.8125,             0.81994,             0.55372,            0.035963,            0.016355,           0.0033506,            0.006139,            0.006139,            0.006139
                  80,            0.024834,            0.010212,           0.0025593,             0.94838,              0.8125,             0.82902,             0.61572,            0.030432,            0.016399,           0.0030643,           0.0060895,           0.0060895,           0.0060895
                  81,            0.024305,           0.0099977,           0.0030057,             0.94534,              0.8125,             0.82369,             0.54516,            0.036944,            0.016256,           0.0030536,             0.00604,             0.00604,             0.00604
                  82,            0.024951,            0.010076,           0.0022375,             0.95337,              0.8125,             0.81431,             0.61123,            0.031167,            0.016574,           0.0031984,           0.0059905,           0.0059905,           0.0059905
                  83,             0.02441,            0.010154,           0.0029053,             0.95264,              0.8125,             0.81155,             0.47591,            0.037381,            0.016453,            0.003461,            0.005941,            0.005941,            0.005941
                  84,            0.023773,            0.010167,           0.0022521,              0.9559,              0.8125,             0.82576,             0.56243,            0.032256,            0.016895,           0.0029892,           0.0058915,           0.0058915,           0.0058915
                  85,            0.023746,            0.010279,            0.002684,             0.95791,              0.8125,             0.81512,              0.5457,            0.035264,            0.016828,           0.0028545,            0.005842,            0.005842,            0.005842
                  86,            0.024525,            0.010432,           0.0020525,             0.96489,              0.8125,             0.82574,             0.56096,            0.031345,             0.01735,           0.0027855,           0.0057925,           0.0057925,           0.0057925
                  87,             0.02426,           0.0093314,           0.0023256,             0.96322,              0.8125,             0.81768,             0.53068,            0.033603,             0.01719,           0.0026662,            0.005743,            0.005743,            0.005743
                  88,            0.023442,            0.010365,           0.0022508,             0.96374,              0.8125,             0.83027,             0.60216,            0.032007,            0.017172,           0.0024945,           0.0056935,           0.0056935,           0.0056935
                  89,            0.024282,            0.009905,           0.0023203,             0.96824,              0.8125,              0.8176,             0.54539,            0.034638,            0.016705,           0.0025436,            0.005644,            0.005644,            0.005644
                  90,            0.023455,           0.0099107,           0.0021593,             0.96129,              0.8125,             0.81955,             0.54186,            0.033442,            0.016864,           0.0026843,           0.0055945,           0.0055945,           0.0055945
                  91,            0.023718,            0.010372,           0.0022133,             0.96117,              0.8125,             0.81177,             0.54153,            0.034468,             0.01623,           0.0027234,            0.005545,            0.005545,            0.005545
                  92,             0.02357,            0.009729,           0.0021957,             0.96411,              0.8125,             0.82535,              0.6251,            0.029521,            0.016101,           0.0027159,           0.0054955,           0.0054955,           0.0054955
                  93,            0.022643,           0.0092927,           0.0021991,             0.95698,              0.8125,             0.81251,             0.61637,            0.032933,            0.016051,           0.0029593,            0.005446,            0.005446,            0.005446
                  94,            0.022663,           0.0097801,           0.0020726,             0.95742,              0.8125,             0.82108,              0.5943,            0.033071,            0.016155,           0.0027366,           0.0053965,           0.0053965,           0.0053965
                  95,            0.022572,           0.0088652,           0.0022931,             0.95309,              0.8125,             0.82402,             0.61309,            0.032121,            0.015282,           0.0024591,            0.005347,            0.005347,            0.005347
                  96,            0.022926,           0.0088985,           0.0020859,             0.96268,              0.8125,             0.82366,             0.59929,            0.033903,            0.015464,            0.002461,           0.0052975,           0.0052975,           0.0052975
                  97,            0.022724,           0.0098954,           0.0020828,             0.96532,              0.8125,             0.82649,             0.63735,            0.032496,            0.015645,           0.0026023,            0.005248,            0.005248,            0.005248
                  98,            0.021311,           0.0085048,            0.002086,             0.94833,             0.81073,             0.82402,              0.5407,             0.03605,             0.01617,           0.0028254,           0.0051985,           0.0051985,           0.0051985
